surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
Au	211	H	0.17	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni 	211	H	-0.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re	211	H	-0.69	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Fe	211	H	-0.59	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	OH	0.49	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	OH	0.94	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	OH	0.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	OH	-0.37	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	OH	-0.69	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	OH	-0.5	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	OH	-0.04	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	OH	-0.4	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	OH	0.34	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	H-OH	0.72	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	H-OH	0.8	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	H-OH	1.82	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	H-OH	0.35	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	H-OH	-0.01	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	H-OH	0.49	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	H-OH	0.24	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	H-OH	0.82	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Fe	211	H-OH	-0.15	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	H-H	0.19	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	H-H	0.78	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	H-H	0.12	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	H-H	1.15	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	COH	1.9	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	COH	1.92	fcc	[]	[]	Fatima Jalid Tuhin S Khan
